experiment,category,metric,value,unit,description,collection or derivation,related script,raw logs retained,notes
10 probes,workload,active_replay_duration,2.5,h,Approximate active tcpreplay execution window reported for the ten-probe stress test.,Derived from the original experiment notes and replay-monitoring output.,host-dev-8-10-replicas.sh,no,Original raw replay logs were not retained after the infrastructure rebuild.
10 probes,workload,traffic_rate,10,Mbps,Approximate replay traffic rate sustained during the ten-probe stress test.,Derived from original tcpreplay/monitoring observations.,host-dev-8-10-replicas.sh,no,Used in the manuscript to characterize the stress workload.
10 probes,workload,mean_packet_rate,2335.19,pps,Mean packet rate during the ten-probe replay workload.,Derived from original replay-monitoring observations.,host-dev-8-10-replicas.sh,no,pps = packets per second.
10 probes,workload,peak_packet_rate,2784.10,pps,Peak packet rate observed during the ten-probe replay workload.,Derived from original replay-monitoring observations.,host-dev-8-10-replicas.sh,no,pps = packets per second.
10 probes,kafka_backlog,peak_aggregate_lag,13100000,records,Approximate peak aggregate Kafka consumer lag across the nids-logs topic.,Derived from original Kafka consumer lag observations.,kafka-consumer-groups --describe (raw output not retained),no,Reported as approximately 1.31e7 records in the manuscript.
10 probes,kafka_backlog,post_ingestion_drain_time,3.5,h,Approximate time required after traffic generation stopped for the accumulated backlog to drain.,Derived from original Kafka lag observations.,kafka-consumer-groups --describe (raw output not retained),no,"Represents post-ingestion drain time, not active traffic generation time."
10 probes,storage,disk_usage_start,60,GiB,Approximate disk usage before or at the start of the stress/backlog interval.,Derived from central-node monitoring observations.,central-monitor.sh,no,Used to characterize storage pressure during backlog formation.
10 probes,storage,disk_usage_end,84,GiB,Approximate disk usage after sustained backlog accumulation.,Derived from central-node monitoring observations.,central-monitor.sh,no,Used to characterize storage pressure during backlog formation.
10 probes,storage,disk_usage_delta,24,GiB,Increase in disk usage during the stress/backlog interval.,Calculated as disk_usage_end minus disk_usage_start.,central-monitor.sh,no,Derived from the 60 GiB to 84 GiB change.
10 probes,cpu_logstash,median_cpu,46.08,%,Median Logstash CPU utilization during the ten-probe run.,Calculated from docker stats samples collected by central-monitor.sh.,central-monitor.sh,no,Docker CPU percentage; values can exceed 100% on multi-vCPU hosts.
10 probes,cpu_logstash,p95_cpu,70.08,%,95th percentile Logstash CPU utilization during the ten-probe run.,Calculated from docker stats samples collected by central-monitor.sh.,central-monitor.sh,no,Docker CPU percentage; values can exceed 100% on multi-vCPU hosts.
10 probes,cpu_logstash,peak_cpu,146.27,%,Peak Logstash CPU utilization during the ten-probe run.,Calculated from docker stats samples collected by central-monitor.sh.,central-monitor.sh,no,Approximately 1.46 vCPU on a 2 vCPU host.
10 probes,cpu_opensearch_node1,median_cpu,39.03,%,Median CPU utilization of OpenSearch node 1 during the ten-probe run.,Calculated from docker stats samples collected by central-monitor.sh.,central-monitor.sh,no,
10 probes,cpu_opensearch_node1,p95_cpu,67.12,%,95th percentile CPU utilization of OpenSearch node 1 during the ten-probe run.,Calculated from docker stats samples collected by central-monitor.sh.,central-monitor.sh,no,
10 probes,cpu_opensearch_node1,peak_cpu,96.93,%,Peak CPU utilization of OpenSearch node 1 during the ten-probe run.,Calculated from docker stats samples collected by central-monitor.sh.,central-monitor.sh,no,
10 probes,cpu_opensearch_node2,median_cpu,34.23,%,Median CPU utilization of OpenSearch node 2 during the ten-probe run.,Calculated from docker stats samples collected by central-monitor.sh.,central-monitor.sh,no,
10 probes,cpu_opensearch_node2,p95_cpu,62.52,%,95th percentile CPU utilization of OpenSearch node 2 during the ten-probe run.,Calculated from docker stats samples collected by central-monitor.sh.,central-monitor.sh,no,
10 probes,cpu_opensearch_node2,peak_cpu,115.96,%,Peak CPU utilization of OpenSearch node 2 during the ten-probe run.,Calculated from docker stats samples collected by central-monitor.sh.,central-monitor.sh,no,Docker CPU percentage; values can exceed 100% on multi-vCPU hosts.
10 probes,cpu_kafka,median_cpu,7.22,%,Median Kafka CPU utilization during the ten-probe run.,Calculated from docker stats samples collected by central-monitor.sh.,central-monitor.sh,no,
10 probes,cpu_kafka,p95_cpu,12.62,%,95th percentile Kafka CPU utilization during the ten-probe run.,Calculated from docker stats samples collected by central-monitor.sh.,central-monitor.sh,no,
10 probes,cpu_kafka,peak_cpu,64.42,%,Peak Kafka CPU utilization during the ten-probe run.,Calculated from docker stats samples collected by central-monitor.sh.,central-monitor.sh,no,
10 probes,collection_metadata,central_monitor_sampling_interval,8,s,Sampling interval used by the central-node docker stats monitoring script.,Read from central-monitor.sh.,central-monitor.sh,no,
10 probes,collection_metadata,probe_monitor_sampling_interval,9,s,Sampling interval used by the Kubernetes pod resource monitoring script.,Read from probe-monitoring-10.sh.,probe-monitoring-10.sh,no,
10 probes,collection_metadata,replay_log_capture,kubectl_logs_with_timestamps,method,Replay pod logs were captured with kubectl logs -f --timestamps.,Read from host-dev-8-10-replicas.sh.,host-dev-8-10-replicas.sh,no,
